id	name	reactions
P302-PWY	L-sorbose degradation	SORB6PDEHYDROG-RXN|R262-RXN
PWY-6090	1,2-dichlorobenzene degradation	RXN-9879|RXN-9878
PWY0-1602	D-gulosides conversion to D-glucosides	RXN-20680|RXN-20681|RXN-20682
14DICHLORBENZDEG-PWY	1,4-dichlorobenzene degradation	RXN-18362|RXN-18361|RXN-18360|MALEYLACETATE-REDUCTASE-RXN|CHLOROMALERED-RXN|DIENELACHYDRO-RXN|CHLOROCATDIOXY-RXN|CHLOROBENDDH-RXN|DIOXYXANFL-RXN
PWY-6527	stachyose degradation	GLUC1PURIDYLTRANS-RXN|GALACTOKIN-RXN|GALACTURIDYLYLTRANS-RXN|RXN-11502|RXN-11501|UDPGLUCEPIM-RXN|UTPHEXPURIDYLYLTRANS-RXN
PWY-5194	siroheme biosynthesis	RXN-8675|UROPORIIIMETHYLTRANSA-RXN|SIROHEME-FERROCHELAT-RXN|DIMETHUROPORDEHYDROG-RXN
PWY4FS-13	extended VTC2 cycle	RXN-7772|RXN4FS-13|RXN4FS-14
PWY-5297	siroheme amide biosynthesis	RXN-8213|RXN-8212
PWY-6992	1,5-anhydrofructose degradation	PGLUCISOM-RXN|MANNPISOM-RXN|MANNKIN-RXN|RXN-13064|1.1.1.292-RXN
PWY-5196	factor 430 biosynthesis	DIMETHUROPORDEHYDROG-RXN|RXN-8675|UROPORIIIMETHYLTRANSA-RXN|RXN-8063|RXN-8061|RXN-8060|RXN-8059
PWY-7180	2-deoxy-alpha-D-ribose 1-phosphate degradation	ACETALD-DEHYDROG-RXN|DEOXYRIBOSE-P-ALD-RXN|D-PPENTOMUT-RXN
PWY-6091	1,2,4-trichlorobenzene degradation	RXN-9880|RXN-9877
GLUCOSE1PMETAB-PWY	glucose and glucose-1-phosphate degradation	RXN0-6373|GLUCOKIN-RXN|PHOSPHOGLUCMUT-RXN|GLUCONOLACT-RXN|GLUCOSE-1-PHOSPHAT-RXN
PWY-6640	salicylate degradation IV	GENTISATE-12-DIOXYGENASE-RXN|RXN-11741|RXN-11740|RXN-11739|RXN-11113
PWY-7562	3,6-anhydro-alpha-L-galactopyranose degradation	KDPGALDOL-RXN|DEOXYGLUCONOKIN-RXN|RXN-16964|1.1.1.127-RXN|RXN-15999|RXN-15893|RXN-15892
PWY-7758	bacteriochlorophyll d biosynthesis	RXN-17491|RXN-5286|RXN-17440|RXN-17439|RXN-17438|RXN-17437|RXN-17436|RXN-17435|RXN-17434|RXN-17433|RXN-17432|RXN-17431|RXN-17430|RXN-17429
PWY0-1300	2-O-alpha-mannosyl-D-glycerate degradation	GKI-RXN|RXN0-5216
PWY-7762	bacteriochlorophyll b biosynthesis	RXN-17482|RXN-17484|RXN-17481|RXN-17480|RXN-17479|RXN-17478|RXN-17477
P124-PWY	Bifidobacterium shunt	GLUCOKIN-RXN|PGLUCISOM-RXN|L-LACTATE-DEHYDROGENASE-RXN|PEPDEPHOS-RXN|2PGADEHYDRAT-RXN|3PGAREARR-RXN|PHOSGLYPHOS-RXN|GAPOXNPHOSPHN-RXN|PHOSPHOKETOLASE-RXN|RIBULP3EPIM-RXN|RIB5PISOM-RXN|1TRANSKETO-RXN|TRANSALDOL-RXN|ACETATEKIN-RXN|FRUCTOSE-6-PHOSPHATE-PHOSPHOKETOLASE-RXN
PWY-5526	bacteriochlorophyll a biosynthesis	RXN-17491|RXN-5286|RXN-17425|RXN-17424|RXN-8792|RXN-8793|RXN-8791|RXN-8790|RXN-8789|RXN-8788|RXN-8787|RXN-8786|RXN-8785
PWY0-1314	fructose degradation	1PFRUCTPHOSN-RXN
PWY-7760	bacteriochlorophyll e biosynthesis	RXN-18420|RXN-18418|RXN-18416|RXN-18414|RXN-17491|RXN-5286|RXN-17465|RXN-17466|RXN-17467|RXN-17468|RXN-17463|RXN-17462|RXN-17461|RXN-17460|RXN-17459|RXN-17458|RXN-17457|RXN-17456|RXN-17445|RXN-17444|RXN-17443|RXN-17441|RXN-17436|RXN-17435|RXN-17434|RXN-17433|RXN-17432|RXN-17431|RXN-17430|RXN-17429
PWY-7775	propane degradation II	RXN-17579|RXN-17578|RXN-17571|RXN-17569|RXN-17568
PWY-7759	bacteriochlorophyll c biosynthesis	RXN-17491|RXN-5286|RXN-17448|RXN-17447|RXN-17446|RXN-17445|RXN-17444|RXN-17443|RXN-17442|RXN-17441|RXN-17436|RXN-17435|RXN-17434|RXN-17433|RXN-17432|RXN-17431|RXN-17430|RXN-17429
PWY-7774	propane degradation I	RXN-17572|RXN-17571|RXN-17567|RXN-17568
PWY-8127	chlorophyll b2 biosynthesis	RXN-21291|RXN-21290|RXN-21289|RXN-21288
2OXOBUTYRATECAT-PWY	2-oxobutanoate degradation II	RXN-7938|2-OXOBUTYRATE-SYNTHASE-RXN
PWY-5531	3,8-divinyl-chlorophyllide a biosynthesis II (anaerobic)	RXN-17485|HEMN-RXN|RXN0-6259|RXN-8799|RXN-8797|RXN-8798|RXN-MG-PROTOPORPHYRIN-METHYLESTER-SYN|RXN1F-20|UROGENDECARBOX-RXN
PWY-6959	L-ascorbate degradation V	RXN-21402|RXN-21401|RXN-21400|RXN-12870|RXN-12871
CHLOROPHYLL-SYN	3,8-divinyl-chlorophyllide a biosynthesis I (aerobic, light-dependent)	RXN-5285|RXN-5282|RXN-5283|RXN-5284|RXN0-1461|RXN-MG-PROTOPORPHYRIN-METHYLESTER-SYN|RXN1F-20|UROGENDECARBOX-RXN|PROTOPORGENOXI-RXN
PWY0-301	L-ascorbate degradation I (bacterial, anaerobic)	RXN0-2461|RXN0-5214|RIBULPEPIM-RXN|RXN0-705|LXULRU5P-RXN
PWY-7159	3,8-divinyl-chlorophyllide a biosynthesis III (aerobic, light independent)	RXN-17485|RXN-5282|RXN-5283|RXN-5284|RXN0-1461|RXN-MG-PROTOPORPHYRIN-METHYLESTER-SYN|RXN1F-20|UROGENDECARBOX-RXN|PROTOPORGENOXI-RXN
PWY-6704	L-ascorbate degradation IV	RXN0-7021|RXN-12107|RXN-12110|RXN-12109|RXN-12108
TOLUENE-DEG-DIOL-PWY	toluene degradation to 2-hydroxypentadienoate (via toluene-cis-diol)	TOLUENE-DIOL-DEHYDROGENASE-RXN|TOLUENE-DIOXYGENASE-RXN|2-OH-6-OXOHEPTA-2-4-DIENOATE-HYDR-RXN|CATECHOL-2-3-DIOXYGENASE-RXN
PWY-6961	L-ascorbate degradation II (bacterial, aerobic)	RXN-21400|RIBULPEPIM-RXN|LXULRU5P-RXN|RXN0-705|RXN0-703|RXN0-704|RXN-12440
PWY-5178	toluene degradation IV (aerobic) (via catechol)	ACETALD-DEHYDROG-RXN|MHPELY-RXN|2-OXOPENT-4-ENOATE-HYDRATASE-RXN|3.7.1.9-RXN|CATECHOL-23-DIOXYGENASE-RXN|BENZOATE-12-DIOXYGENASE-RXN|1.3.1.25-RXN|BENZALDEHYDE-DEHYDROGENASE-NAD+-RXN|BENZYL-ALC-DEHYDROGENASE-RXN|TOLUENE-SIDE-CHAIN-MONOOXYGENASE-RXN
PWY-6960	L-ascorbate degradation III	RXN-12875|RXN-12869|RXN-12872|RXN-12873|RXN-12874|RXN-12440
PWY-5181	toluene degradation III (aerobic) (via p-cresol)	HYDROXYBENZALDEHYDE-OXIDATION-NADP-RXN|RXN-16205|RXN-16204|4-HYDROXYBENZOATE-3-MONOOXYGENASE-RXN|RXN-3641|3-OXOADIPATE-COA-TRANSFERASE-RXN|4-CARBOXYMUCONOLACTONE-DECARBOXYLASE-RXN|3-OXOADIPATE-ENOL-LACTONASE-RXN|5.5.1.2-RXN|PROTOCATECHUATE-34-DIOXYGENASE-RXN|TOLUENE-4-MONOOXYGENASE-RXN
GLYCOLATEMET-PWY	glycolate and glyoxylate degradation I	TSA-REDUCT-RXN|RXN0-7229|GKI-RXN|GLYOCARBOLIG-RXN
PWY-7700	4-methylphenol degradation to protocatechuate	HYDROXYBENZALDEHYDE-OXIDATION-NADP-RXN|RXN-16205|RXN-16204|4-HYDROXYBENZOATE-3-MONOOXYGENASE-RXN
PWY-6649	glycolate and glyoxylate degradation III	RXN0-7229|RXN-11769|4.3.1.20-RXN
TOLUENE-DEG-2-OH-PWY	toluene degradation to 2-hydroxypentadienoate I (via o-cresol)	TOLUENE-2-MONOOXYGENASE-RXN|O-CRESOL-METHYLCATECHOL-RXN|2-OH-6-OXOHEPTA-2-4-DIENOATE-HYDR-RXN|CATECHOL-2-3-DIOXYGENASE-RXN
GLYOXDEG-PWY	glycolate and glyoxylate degradation II	RXN0-7229|MALSYN-RXN
P3-PWY	gallate degradation III (anaerobic)	RXN-16834|RXN-11667|R11-RXN|ACETATEKIN-RXN|PHOSACETYLTRANS-RXN|R7-RXN|R8-RXN|R6-RXN|R5-RXN|1.97.1.2-RXN|GALLATE-DECARBOXYLASE-RXN
PWY-6696	oxalate degradation III	GLYOXYLATE-DEHYDROGENASE-ACYLATING-RXN|OXALYL-COA-DECARBOXYLASE-RXN|FORMYL-COA-HYDROLASE-RXN|1.2.1.2-RXN|OXALATE-COA-TRANSFERASE-RXN
GALLATE-DEGRADATION-II-PWY	gallate degradation I	RXN-2464|RXN-2463|RXN-9983|GALLATE-DIOXYGENASE-RXN
PWY-7985	oxalate degradation VI	OXALATE--COA-LIGASE-RXN|OXALYL-COA-DECARBOXYLASE-RXN|FORMYL-COA-HYDROLASE-RXN|1.2.1.2-RXN
GALLATE-DEGRADATION-I-PWY	gallate degradation II	RXN-11861|RXN-9983|RXN-2463|RXN-2464|RXN-2462
PWY-6695	oxalate degradation II	OXALATE-COA-TRANSFERASE-RXN|OXALYL-COA-DECARBOXYLASE-RXN|RXN0-1382
PWY-5428	1,3-dimethylbenzene degradation to 3-methylbenzoate	RXN-8583|RXN-8580|RXN-8578
PWY-6698	oxalate degradation V	OXALATE-DECARBOXYLASE-RXN
PWY-5429	1,4-dimethylbenzene degradation to 4-methylbenzoate	RXN-8582|RXN-8581|RXN-8579
PWY-6694	oxalate degradation I	RXN-12077
